"method","cr","len","alpha"
"CQR_inexact_quantRF",0.9774,2.44653608663505,0.05
"CQR_exact_quantRF",1,4.90459410284307,0.05
"CQR_naive_quantRF",0.9998,4.37886270763904,0.05
"CQR_inexact_quantBoosting",0.985,2.59923507602862,0.05
"CQR_exact_quantBoosting",1,4.70395383267806,0.05
"CQR_naive_quantBoosting",0.9994,4.00177624391635,0.05
"CQR_inexact_quantBART",0.9454,1.98705988784561,0.05
"CQR_exact_quantBART",0.9988,3.55051785683348,0.05
"CQR_naive_quantBART",0.9992,3.57111448514684,0.05
"CF",0.1312,0.178996433420767,0.05
"xlearner",0.2312,0.302674868122748,0.05
"bart_naive",0.9984,3.24960042607248,0.05
"bart_inexact",0.8546,1.54750443505462,0.05
"CQR_inexact_quantRF",0.975,2.32776094297088,0.05
"CQR_exact_quantRF",1,4.56448885394556,0.05
"CQR_naive_quantRF",1,4.4466594592544,0.05
"CQR_inexact_quantBoosting",0.9126,1.82985975283617,0.05
"CQR_exact_quantBoosting",0.9992,3.52263219361463,0.05
"CQR_naive_quantBoosting",0.9998,4.1688720275272,0.05
"CQR_inexact_quantBART",0.9432,1.99449834723674,0.05
"CQR_exact_quantBART",1,3.72136581769278,0.05
"CQR_naive_quantBART",0.9992,3.72629193149595,0.05
"CF",0.1836,0.238129777975518,0.05
"xlearner",0.261,0.357354725873705,0.05
"bart_naive",0.9982,3.45869359620559,0.05
"bart_inexact",0.8738,1.64515162279358,0.05
"CQR_inexact_quantRF",0.9646,2.37397759864481,0.05
"CQR_exact_quantRF",1,4.77044432634532,0.05
"CQR_naive_quantRF",0.9994,4.17314385643081,0.05
"CQR_inexact_quantBoosting",0.985,2.79335677080574,0.05
"CQR_exact_quantBoosting",0.9998,4.08414681499184,0.05
"CQR_naive_quantBoosting",0.9998,4.5233939365712,0.05
"CQR_inexact_quantBART",0.9016,1.76501396860296,0.05
"CQR_exact_quantBART",1,4.99312862500324,0.05
"CQR_naive_quantBART",1,4.68766146313576,0.05
"CF",0.169,0.21845079698709,0.05
"xlearner",0.2416,0.312248959973796,0.05
"bart_naive",0.995,3.24774047662292,0.05
"bart_inexact",0.8268,1.42952192478927,0.05
"CQR_inexact_quantRF",0.977,2.51846639359774,0.05
"CQR_exact_quantRF",0.9994,4.03402464515396,0.05
"CQR_naive_quantRF",0.9984,3.80684483114318,0.05
"CQR_inexact_quantBoosting",0.9252,1.89922647401859,0.05
"CQR_exact_quantBoosting",0.9994,4.08152544122239,0.05
"CQR_naive_quantBoosting",0.9962,3.61777837044466,0.05
"CQR_inexact_quantBART",0.9312,1.88549944679613,0.05
"CQR_exact_quantBART",0.9984,3.59653329813941,0.05
"CQR_naive_quantBART",0.9974,3.69674278923518,0.05
"CF",0.188,0.248861073027827,0.05
"xlearner",0.2636,0.351011498652486,0.05
"bart_naive",0.9972,3.35443797773464,0.05
"bart_inexact",0.8296,1.47745239147655,0.05
"CQR_inexact_quantRF",0.9654,2.31464318809598,0.05
"CQR_exact_quantRF",0.9998,5.09383970612426,0.05
"CQR_naive_quantRF",0.9998,5.12143234398578,0.05
"CQR_inexact_quantBoosting",0.9718,2.44536133551023,0.05
"CQR_exact_quantBoosting",0.9998,4.77864146550976,0.05
"CQR_naive_quantBoosting",0.9998,4.11418196007217,0.05
"CQR_inexact_quantBART",0.9636,2.3127709388811,0.05
"CQR_exact_quantBART",0.9998,4.32687362264462,0.05
"CQR_naive_quantBART",0.9998,4.29732028518351,0.05
"CF",0.179,0.22036047342915,0.05
"xlearner",0.2458,0.316227587357514,0.05
"bart_naive",0.9982,3.24739715027472,0.05
"bart_inexact",0.8476,1.47599985260482,0.05
"CQR_inexact_quantRF",0.961,2.16328621062892,0.05
"CQR_exact_quantRF",1,4.03406080486508,0.05
"CQR_naive_quantRF",0.9994,3.79517339211053,0.05
"CQR_inexact_quantBoosting",0.9338,1.93350636143364,0.05
"CQR_exact_quantBoosting",0.9998,3.70647616461037,0.05
"CQR_naive_quantBoosting",0.9988,3.48881591170568,0.05
"CQR_inexact_quantBART",0.9324,1.89214390446876,0.05
"CQR_exact_quantBART",1,3.99358994116808,0.05
"CQR_naive_quantBART",0.9998,3.75823581667635,0.05
"CF",0.1596,0.209472696380178,0.05
"xlearner",0.2342,0.310183097608359,0.05
"bart_naive",0.997,3.3116993311581,0.05
"bart_inexact",0.8574,1.56049597101375,0.05
"CQR_inexact_quantRF",0.9172,1.91353928805128,0.05
"CQR_exact_quantRF",1,4.41284531362985,0.05
"CQR_naive_quantRF",1,3.90504004737298,0.05
"CQR_inexact_quantBoosting",0.9796,2.4596294897857,0.05
"CQR_exact_quantBoosting",1,4.73147347433678,0.05
"CQR_naive_quantBoosting",0.999,3.88174125276949,0.05
"CQR_inexact_quantBART",0.9616,2.1805204835,0.05
"CQR_exact_quantBART",1,4.12999414904836,0.05
"CQR_naive_quantBART",0.9986,3.46457765792533,0.05
"CF",0.1948,0.239460518588931,0.05
"xlearner",0.2778,0.352394775292322,0.05
"bart_naive",0.9984,3.47406639061418,0.05
"bart_inexact",0.8736,1.59353450569953,0.05
"CQR_inexact_quantRF",0.9594,2.22618521380444,0.05
"CQR_exact_quantRF",0.9998,4.19073801345009,0.05
"CQR_naive_quantRF",1,4.32475414292272,0.05
"CQR_inexact_quantBoosting",0.9894,2.86941472302543,0.05
"CQR_exact_quantBoosting",0.9998,4.15719536914568,0.05
"CQR_naive_quantBoosting",0.9998,4.73396989159224,0.05
"CQR_inexact_quantBART",0.9462,2.03225636110448,0.05
"CQR_exact_quantBART",1,3.99537339842834,0.05
"CQR_naive_quantBART",1,4.26183171001003,0.05
"CF",0.1614,0.202332797910698,0.05
"xlearner",0.2548,0.325987638433283,0.05
"bart_naive",0.9966,3.21514970787284,0.05
"bart_inexact",0.8458,1.50777407396013,0.05
"CQR_inexact_quantRF",0.9788,2.55179601540949,0.05
"CQR_exact_quantRF",1,4.54325037552255,0.05
"CQR_naive_quantRF",0.9996,3.88314824435501,0.05
"CQR_inexact_quantBoosting",0.9888,2.85007318987472,0.05
"CQR_exact_quantBoosting",1,4.58049981814835,0.05
"CQR_naive_quantBoosting",0.999,3.78034879203301,0.05
"CQR_inexact_quantBART",0.9242,1.87314855491116,0.05
"CQR_exact_quantBART",0.9998,3.87523039854992,0.05
"CQR_naive_quantBART",0.998,3.59428464154743,0.05
"CF",0.1466,0.199851539831851,0.05
"xlearner",0.2366,0.311166013406717,0.05
"bart_naive",0.996,3.28294994223554,0.05
"bart_inexact",0.8584,1.54969630842598,0.05
"CQR_inexact_quantRF",0.9598,2.24174694748212,0.05
"CQR_exact_quantRF",1,5.17643957866976,0.05
"CQR_naive_quantRF",1,4.56342101966746,0.05
"CQR_inexact_quantBoosting",0.9608,2.2803949240433,0.05
"CQR_exact_quantBoosting",1,4.19582943320684,0.05
"CQR_naive_quantBoosting",0.9998,4.59387673602631,0.05
"CQR_inexact_quantBART",0.861,1.54415046093083,0.05
"CQR_exact_quantBART",0.9998,4.16065635791132,0.05
"CQR_naive_quantBART",0.9988,3.8671444839868,0.05
"CF",0.1496,0.193088306567784,0.05
"xlearner",0.248,0.318442942518633,0.05
"bart_naive",0.9968,3.26990994882969,0.05
"bart_inexact",0.8488,1.4718944386175,0.05
"CQR_inexact_quantRF",0.9584,2.17345289600951,0.05
"CQR_exact_quantRF",0.9998,4.34165197571591,0.05
"CQR_naive_quantRF",0.999,3.75711769966195,0.05
"CQR_inexact_quantBoosting",0.9316,1.99770876510766,0.05
"CQR_exact_quantBoosting",0.9998,4.2337104378922,0.05
"CQR_naive_quantBoosting",0.9996,4.10229645624791,0.05
"CQR_inexact_quantBART",0.9544,2.08017271541665,0.05
"CQR_exact_quantBART",1,4.09405671321937,0.05
"CQR_naive_quantBART",0.9996,3.94392558069351,0.05
"CF",0.162,0.198475887951213,0.05
"xlearner",0.2424,0.304541144787459,0.05
"bart_naive",0.9952,3.15651566957331,0.05
"bart_inexact",0.828,1.43164279105334,0.05
"CQR_inexact_quantRF",0.9606,2.27673041622904,0.05
"CQR_exact_quantRF",1,4.77548373399585,0.05
"CQR_naive_quantRF",0.9998,4.18499664226831,0.05
"CQR_inexact_quantBoosting",0.915,1.81865300109082,0.05
"CQR_exact_quantBoosting",0.9998,3.88657602383738,0.05
"CQR_naive_quantBoosting",0.9984,3.734331727939,0.05
"CQR_inexact_quantBART",0.9234,1.89522378035976,0.05
"CQR_exact_quantBART",0.9988,3.5029576069807,0.05
"CQR_naive_quantBART",0.9996,4.25217032805614,0.05
"CF",0.1532,0.191420641285276,0.05
"xlearner",0.252,0.319642329732468,0.05
"bart_naive",0.9952,3.24470266026174,0.05
"bart_inexact",0.861,1.57108516752103,0.05
"CQR_inexact_quantRF",0.9542,2.27476789351828,0.05
"CQR_exact_quantRF",1,5.15813313750728,0.05
"CQR_naive_quantRF",1,4.53996985343813,0.05
"CQR_inexact_quantBoosting",0.9028,1.75975314160705,0.05
"CQR_exact_quantBoosting",1,4.57546912748817,0.05
"CQR_naive_quantBoosting",0.9998,4.38820959823921,0.05
"CQR_inexact_quantBART",0.8878,1.68254077453088,0.05
"CQR_exact_quantBART",0.9986,3.66031802715218,0.05
"CQR_naive_quantBART",0.9996,4.45236152179689,0.05
"CF",0.1934,0.256381977472799,0.05
"xlearner",0.2838,0.379192282502483,0.05
"bart_naive",0.996,3.25346986751974,0.05
"bart_inexact",0.8496,1.52127307199543,0.05
"CQR_inexact_quantRF",0.981,2.74957418386937,0.05
"CQR_exact_quantRF",0.9998,4.10138677820756,0.05
"CQR_naive_quantRF",0.9996,3.96516782462039,0.05
"CQR_inexact_quantBoosting",0.9584,2.21167755486484,0.05
"CQR_exact_quantBoosting",0.9998,4.26581374505043,0.05
"CQR_naive_quantBoosting",0.9994,3.99155408936683,0.05
"CQR_inexact_quantBART",0.9678,2.24690216212125,0.05
"CQR_exact_quantBART",0.998,3.37542263519303,0.05
"CQR_naive_quantBART",0.9998,4.49682188439331,0.05
"CF",0.1744,0.229103304652951,0.05
"xlearner",0.2434,0.323071423600016,0.05
"bart_naive",0.9982,3.33545380498363,0.05
"bart_inexact",0.8118,1.35694267143642,0.05
"CQR_inexact_quantRF",0.9654,2.23762308371052,0.05
"CQR_exact_quantRF",1,5.4888669304935,0.05
"CQR_naive_quantRF",1,4.64698408905946,0.05
"CQR_inexact_quantBoosting",0.9718,2.29638771661859,0.05
"CQR_exact_quantBoosting",1,4.68039273489893,0.05
"CQR_naive_quantBoosting",1,4.27611768156031,0.05
"CQR_inexact_quantBART",0.8866,1.63834785286341,0.05
"CQR_exact_quantBART",1,3.76750070200325,0.05
"CQR_naive_quantBART",0.9998,3.88585691700167,0.05
"CF",0.1798,0.236762697675238,0.05
"xlearner",0.258,0.340557163725596,0.05
"bart_naive",0.9972,3.33517207256845,0.05
"bart_inexact",0.8568,1.50454328594868,0.05
"CQR_inexact_quantRF",0.9704,2.3543344868082,0.05
"CQR_exact_quantRF",0.9998,4.48342423948861,0.05
"CQR_naive_quantRF",0.9998,4.59347497652835,0.05
"CQR_inexact_quantBoosting",0.9658,2.31643007424275,0.05
"CQR_exact_quantBoosting",1,5.46306259408168,0.05
"CQR_naive_quantBoosting",0.9976,3.95514024761605,0.05
"CQR_inexact_quantBART",0.975,2.34736683636765,0.05
"CQR_exact_quantBART",0.9996,4.16298195352088,0.05
"CQR_naive_quantBART",1,4.66198997558467,0.05
"CF",0.1604,0.200660009442484,0.05
"xlearner",0.2406,0.311801678913302,0.05
"bart_naive",0.996,3.21636244409725,0.05
"bart_inexact",0.8022,1.36650302324066,0.05
"CQR_inexact_quantRF",0.9498,2.11953627726572,0.05
"CQR_exact_quantRF",0.9998,4.05999034781982,0.05
"CQR_naive_quantRF",0.9998,3.7486548907551,0.05
"CQR_inexact_quantBoosting",0.9066,1.79122145351453,0.05
"CQR_exact_quantBoosting",1,4.17869153432337,0.05
"CQR_naive_quantBoosting",0.9988,3.57760896916642,0.05
"CQR_inexact_quantBART",0.9354,1.96562834525856,0.05
"CQR_exact_quantBART",0.9992,3.83956576593593,0.05
"CQR_naive_quantBART",0.9998,3.78227398706746,0.05
"CF",0.1626,0.191014568633118,0.05
"xlearner",0.2604,0.324564639118226,0.05
"bart_naive",0.9984,3.2776279828952,0.05
"bart_inexact",0.829,1.4363094966394,0.05
"CQR_inexact_quantRF",0.984,2.64013976230516,0.05
"CQR_exact_quantRF",1,5.19375347845986,0.05
"CQR_naive_quantRF",1,4.72641323124732,0.05
"CQR_inexact_quantBoosting",0.9372,1.98897060359883,0.05
"CQR_exact_quantBoosting",0.9994,3.77801713254516,0.05
"CQR_naive_quantBoosting",0.9996,4.3327859604793,0.05
"CQR_inexact_quantBART",0.9756,2.38850261888856,0.05
"CQR_exact_quantBART",1,4.19061348700412,0.05
"CQR_naive_quantBART",0.9998,4.09378398216013,0.05
"CF",0.1642,0.21120453171044,0.05
"xlearner",0.2618,0.344655103078698,0.05
"bart_naive",0.9992,3.39940856178803,0.05
"bart_inexact",0.8564,1.5311126995048,0.05
"CQR_inexact_quantRF",0.9686,2.25657988648879,0.05
"CQR_exact_quantRF",0.9998,3.80892743649552,0.05
"CQR_naive_quantRF",0.9998,4.22527647872088,0.05
"CQR_inexact_quantBoosting",0.9216,1.83054571190872,0.05
"CQR_exact_quantBoosting",0.9998,4.22038758376322,0.05
"CQR_naive_quantBoosting",1,4.43099373166965,0.05
"CQR_inexact_quantBART",0.8478,1.49964332621663,0.05
"CQR_exact_quantBART",0.9998,4.13686162847346,0.05
"CQR_naive_quantBART",1,4.01621987456353,0.05
"CF",0.159,0.218480708716465,0.05
"xlearner",0.2512,0.334726732185195,0.05
"bart_naive",0.996,3.24893473530659,0.05
"bart_inexact",0.8834,1.64394308318096,0.05
"CQR_inexact_quantRF",0.9782,2.49220391966836,0.05
"CQR_exact_quantRF",1,5.18213211687534,0.05
"CQR_naive_quantRF",1,4.61664853068213,0.05
"CQR_inexact_quantBoosting",0.9512,2.0876698054756,0.05
"CQR_exact_quantBoosting",1,4.64967170583259,0.05
"CQR_naive_quantBoosting",1,4.5396310719547,0.05
"CQR_inexact_quantBART",0.9646,2.24913504268126,0.05
"CQR_exact_quantBART",1,4.21483320339623,0.05
"CQR_naive_quantBART",0.9998,4.25912154688427,0.05
"CF",0.1564,0.190237923581166,0.05
"xlearner",0.2508,0.313231430900343,0.05
"bart_naive",0.9976,3.30462611962233,0.05
"bart_inexact",0.852,1.48728390070945,0.05
"CQR_inexact_quantRF",0.9716,2.5066791039428,0.05
"CQR_exact_quantRF",0.9994,3.88907811838464,0.05
"CQR_naive_quantRF",0.9994,4.08354083544209,0.05
"CQR_inexact_quantBoosting",0.8932,1.65001185093789,0.05
"CQR_exact_quantBoosting",0.9998,3.9535014053371,0.05
"CQR_naive_quantBoosting",0.9994,3.84754558410716,0.05
"CQR_inexact_quantBART",0.9446,1.9818039584909,0.05
"CQR_exact_quantBART",0.9994,3.59808470641019,0.05
"CQR_naive_quantBART",0.9982,3.43781001209341,0.05
"CF",0.1542,0.19565322745238,0.05
"xlearner",0.2268,0.304795191605057,0.05
"bart_naive",0.996,3.18116078266983,0.05
"bart_inexact",0.8744,1.60394493973854,0.05
"CQR_inexact_quantRF",0.9858,2.69014423587931,0.05
"CQR_exact_quantRF",0.9998,4.32899516211291,0.05
"CQR_naive_quantRF",1,5.75699680250353,0.05
"CQR_inexact_quantBoosting",0.9548,2.24296038358603,0.05
"CQR_exact_quantBoosting",0.9998,4.42343118009029,0.05
"CQR_naive_quantBoosting",0.9992,4.17732665979795,0.05
"CQR_inexact_quantBART",0.9686,2.28284472262916,0.05
"CQR_exact_quantBART",0.9986,3.60168755098735,0.05
"CQR_naive_quantBART",0.997,3.36732235359281,0.05
"CF",0.159,0.211487964491985,0.05
"xlearner",0.234,0.318032769916125,0.05
"bart_naive",0.9956,3.1185700704293,0.05
"bart_inexact",0.7866,1.33821688202527,0.05
"CQR_inexact_quantRF",0.921,1.90983764324759,0.05
"CQR_exact_quantRF",0.9998,3.80009451406749,0.05
"CQR_naive_quantRF",0.9998,4.24106644127536,0.05
"CQR_inexact_quantBoosting",0.979,2.51130356361725,0.05
"CQR_exact_quantBoosting",0.9998,3.74312693546068,0.05
"CQR_naive_quantBoosting",1,4.0521614112774,0.05
"CQR_inexact_quantBART",0.995,3.10178644288917,0.05
"CQR_exact_quantBART",0.9988,3.5624696648558,0.05
"CQR_naive_quantBART",1,4.42189221314451,0.05
"CF",0.163,0.204310269971717,0.05
"xlearner",0.2508,0.325646297886473,0.05
"bart_naive",0.9992,3.35249015628228,0.05
"bart_inexact",0.8594,1.58360307897776,0.05
"CQR_inexact_quantRF",0.9838,2.60165222861669,0.05
"CQR_exact_quantRF",0.9998,3.90064845324987,0.05
"CQR_naive_quantRF",1,4.37268340510463,0.05
"CQR_inexact_quantBoosting",0.9716,2.35304635866135,0.05
"CQR_exact_quantBoosting",0.9998,3.98014803627775,0.05
"CQR_naive_quantBoosting",1,4.16460564850148,0.05
"CQR_inexact_quantBART",0.9266,1.89175681778265,0.05
"CQR_exact_quantBART",1,4.22872921857388,0.05
"CQR_naive_quantBART",0.9994,3.39929933386368,0.05
"CF",0.1446,0.200905650632433,0.05
"xlearner",0.2296,0.320385651723411,0.05
"bart_naive",0.997,3.32583405269711,0.05
"bart_inexact",0.843,1.54139705715281,0.05
"CQR_inexact_quantRF",0.9632,2.35354534550178,0.05
"CQR_exact_quantRF",1,5.15620995619024,0.05
"CQR_naive_quantRF",1,4.38077344183746,0.05
"CQR_inexact_quantBoosting",0.94,2.16594281468441,0.05
"CQR_exact_quantBoosting",0.9998,4.14022917977659,0.05
"CQR_naive_quantBoosting",0.9998,4.16705295413287,0.05
"CQR_inexact_quantBART",0.9536,2.18793201411416,0.05
"CQR_exact_quantBART",0.9996,3.95034266867897,0.05
"CQR_naive_quantBART",0.9978,3.45915280382985,0.05
"CF",0.1638,0.216068063710138,0.05
"xlearner",0.2484,0.324789623210596,0.05
"bart_naive",0.9976,3.19908007861897,0.05
"bart_inexact",0.827,1.41459292826249,0.05
"CQR_inexact_quantRF",0.9994,3.69826460212147,0.05
"CQR_exact_quantRF",1,5.06291086915014,0.05
"CQR_naive_quantRF",0.9996,4.09013868359355,0.05
"CQR_inexact_quantBoosting",0.906,1.83474771276063,0.05
"CQR_exact_quantBoosting",1,4.17333000739543,0.05
"CQR_naive_quantBoosting",0.9988,3.68301581479313,0.05
"CQR_inexact_quantBART",0.882,1.62538893595393,0.05
"CQR_exact_quantBART",1,4.81982595360347,0.05
"CQR_naive_quantBART",0.998,3.3837580036938,0.05
"CF",0.1616,0.207198532055927,0.05
"xlearner",0.252,0.333135755785139,0.05
"bart_naive",0.997,3.30725030434486,0.05
"bart_inexact",0.8626,1.52081674913421,0.05
"CQR_inexact_quantRF",0.9406,2.00925001090198,0.05
"CQR_exact_quantRF",1,4.76735260941849,0.05
"CQR_naive_quantRF",0.9996,3.95569869749502,0.05
"CQR_inexact_quantBoosting",0.981,2.52409262863783,0.05
"CQR_exact_quantBoosting",1,4.78808756711114,0.05
"CQR_naive_quantBoosting",1,4.67774495187505,0.05
"CQR_inexact_quantBART",0.9304,1.87908509769003,0.05
"CQR_exact_quantBART",1,4.17023637258797,0.05
"CQR_naive_quantBART",0.9988,3.54528886105408,0.05
"CF",0.1604,0.202236608494897,0.05
"xlearner",0.2468,0.328574314321723,0.05
"bart_naive",0.997,3.30983524820839,0.05
"bart_inexact",0.8374,1.44507126061711,0.05
"CQR_inexact_quantRF",0.9642,2.36277285158775,0.05
"CQR_exact_quantRF",1,4.90677640940579,0.05
"CQR_naive_quantRF",1,4.45603148076924,0.05
"CQR_inexact_quantBoosting",0.9546,2.19390743322944,0.05
"CQR_exact_quantBoosting",1,4.24023824174813,0.05
"CQR_naive_quantBoosting",1,4.55015506862234,0.05
"CQR_inexact_quantBART",0.9338,1.94579983491118,0.05
"CQR_exact_quantBART",0.9994,3.77952929545089,0.05
"CQR_naive_quantBART",0.9984,3.58682861145012,0.05
"CF",0.1718,0.21857734323682,0.05
"xlearner",0.274,0.359792570660901,0.05
"bart_naive",0.9982,3.45259892323485,0.05
"bart_inexact",0.8568,1.54660034648275,0.05
"CQR_inexact_quantRF",0.9682,2.30630012107768,0.05
"CQR_exact_quantRF",1,5.51851805394096,0.05
"CQR_naive_quantRF",1,4.75138895485658,0.05
"CQR_inexact_quantBoosting",0.9742,2.43117813607163,0.05
"CQR_exact_quantBoosting",1,4.43700802721323,0.05
"CQR_naive_quantBoosting",0.9994,4.19381423392816,0.05
"CQR_inexact_quantBART",0.9426,1.98447030810148,0.05
"CQR_exact_quantBART",0.9996,4.04780038195429,0.05
"CQR_naive_quantBART",0.9996,4.01361556593748,0.05
"CF",0.1804,0.240172387910148,0.05
"xlearner",0.2492,0.335951704684315,0.05
"bart_naive",0.997,3.27730675603617,0.05
"bart_inexact",0.837,1.47841472571107,0.05
"CQR_inexact_quantRF",0.9558,2.13605980010564,0.05
"CQR_exact_quantRF",0.9998,4.68272210020865,0.05
"CQR_naive_quantRF",0.9998,4.13938499572367,0.05
"CQR_inexact_quantBoosting",0.9798,2.49387129885437,0.05
"CQR_exact_quantBoosting",0.9996,4.44329445895551,0.05
"CQR_naive_quantBoosting",0.9998,4.54355695872098,0.05
"CQR_inexact_quantBART",0.9542,2.0816978009466,0.05
"CQR_exact_quantBART",0.9994,3.93951533629015,0.05
"CQR_naive_quantBART",0.9992,3.74889877804234,0.05
"CF",0.1496,0.193113632074956,0.05
"xlearner",0.2448,0.31450943173515,0.05
"bart_naive",0.9958,3.15753927440501,0.05
"bart_inexact",0.8412,1.4313679744624,0.05
"CQR_inexact_quantRF",0.9828,2.563458172202,0.05
"CQR_exact_quantRF",0.9996,4.34408120148954,0.05
"CQR_naive_quantRF",0.9998,4.20707940057687,0.05
"CQR_inexact_quantBoosting",0.8992,1.70265702417086,0.05
"CQR_exact_quantBoosting",0.9996,4.22311496287449,0.05
"CQR_naive_quantBoosting",0.998,3.37803876022486,0.05
"CQR_inexact_quantBART",0.9068,1.71832347041197,0.05
"CQR_exact_quantBART",0.9996,4.05980109745911,0.05
"CQR_naive_quantBART",0.9996,3.87663709461682,0.05
"CF",0.1804,0.220685917269698,0.05
"xlearner",0.251,0.32056881100601,0.05
"bart_naive",0.9984,3.27989317935772,0.05
"bart_inexact",0.8568,1.48915960315099,0.05
"CQR_inexact_quantRF",0.9654,2.21947977483558,0.05
"CQR_exact_quantRF",1,4.49604793339913,0.05
"CQR_naive_quantRF",1,4.51948341266988,0.05
"CQR_inexact_quantBoosting",0.9458,2.02941991112972,0.05
"CQR_exact_quantBoosting",1,4.32465443557305,0.05
"CQR_naive_quantBoosting",1,4.07257680268425,0.05
"CQR_inexact_quantBART",0.9254,1.81338144320864,0.05
"CQR_exact_quantBART",0.999,3.39465500929062,0.05
"CQR_naive_quantBART",0.9964,3.1610202245452,0.05
"CF",0.183,0.232583761809854,0.05
"xlearner",0.2708,0.358549373021873,0.05
"bart_naive",0.9964,3.33974902478535,0.05
"bart_inexact",0.8626,1.54166753591134,0.05
"CQR_inexact_quantRF",0.9372,2.04843591010573,0.05
"CQR_exact_quantRF",0.9998,4.41703455206351,0.05
"CQR_naive_quantRF",0.999,3.98628398935072,0.05
"CQR_inexact_quantBoosting",0.9638,2.24667241252175,0.05
"CQR_exact_quantBoosting",0.9998,4.30786402437347,0.05
"CQR_naive_quantBoosting",1,4.40176205440011,0.05
"CQR_inexact_quantBART",0.9406,1.95898376673679,0.05
"CQR_exact_quantBART",0.998,3.7187437655809,0.05
"CQR_naive_quantBART",0.9986,3.65418767677391,0.05
"CF",0.1634,0.207387358692668,0.05
"xlearner",0.2754,0.353008211656271,0.05
"bart_naive",0.998,3.39408141573062,0.05
"bart_inexact",0.8708,1.5750682909819,0.05
"CQR_inexact_quantRF",0.9656,2.21158919457484,0.05
"CQR_exact_quantRF",0.9998,4.35925464291861,0.05
"CQR_naive_quantRF",1,4.6045158791505,0.05
