"method","cr","len","alpha"
"CQR_inexact_quantBoosting",0.9336,1.94879160128516,0.05
"CQR_exact_quantBoosting",0.9994,4.18572760664092,0.05
"CQR_naive_quantBoosting",0.9994,4.16548446038579,0.05
"CQR_inexact_quantBART",0.9448,1.97636222129625,0.05
"CQR_exact_quantBART",0.9994,4.11445431464166,0.05
"CQR_naive_quantBART",0.9984,3.44553026248581,0.05
"CF",0.1608,0.205011516397162,0.05
"xlearner",0.2408,0.311698828616025,0.05
"bart_naive",0.9972,3.20998429268431,0.05
"bart_inexact",0.8432,1.45789586414389,0.05
"CQR_inexact_quantRF",0.9746,2.38772160243711,0.05
"CQR_exact_quantRF",0.9998,4.70601342030299,0.05
"CQR_naive_quantRF",1,4.4835927919503,0.05
"CQR_inexact_quantBoosting",0.9466,2.02204072093552,0.05
"CQR_exact_quantBoosting",0.9996,4.26104468863519,0.05
"CQR_naive_quantBoosting",0.9992,4.04004776743026,0.05
"CQR_inexact_quantBART",0.9874,2.66739923764934,0.05
"CQR_exact_quantBART",0.9996,3.97254570208162,0.05
"CQR_naive_quantBART",0.9996,4.07884614936727,0.05
"CF",0.1674,0.217132976285125,0.05
"xlearner",0.254,0.331789976574916,0.05
"bart_naive",0.9988,3.37090157888429,0.05
"bart_inexact",0.8682,1.58205188617823,0.05
"CQR_inexact_quantRF",0.9412,2.04681619130795,0.05
"CQR_exact_quantRF",1,5.56045514286274,0.05
"CQR_naive_quantRF",0.9994,3.91216924342753,0.05
"CQR_inexact_quantBoosting",0.9942,3.03772993983367,0.05
"CQR_exact_quantBoosting",1,4.64119194234689,0.05
"CQR_naive_quantBoosting",0.9998,4.0352625316717,0.05
"CQR_inexact_quantBART",0.8332,1.45962767816917,0.05
"CQR_exact_quantBART",1,4.3064977357619,0.05
"CQR_naive_quantBART",0.9994,3.89572284926135,0.05
"CF",0.1836,0.229646899097316,0.05
"xlearner",0.2478,0.322169004496801,0.05
"bart_naive",0.9974,3.28645036721289,0.05
"bart_inexact",0.8466,1.47465953448311,0.05
"CQR_inexact_quantRF",0.9618,2.21275183445231,0.05
"CQR_exact_quantRF",1,4.8357252730882,0.05
"CQR_naive_quantRF",1,5.05325348080043,0.05
"CQR_inexact_quantBoosting",0.9082,1.74218638887328,0.05
"CQR_exact_quantBoosting",1,4.43413168195083,0.05
"CQR_naive_quantBoosting",0.9996,3.7876957500876,0.05
"CQR_inexact_quantBART",0.9528,2.08159798534873,0.05
"CQR_exact_quantBART",0.9992,3.62142355821696,0.05
"CQR_naive_quantBART",0.9998,3.81482754906154,0.05
"CF",0.1378,0.188567364877927,0.05
"xlearner",0.2156,0.296532940528289,0.05
"bart_naive",0.9974,3.18659154957363,0.05
"bart_inexact",0.8624,1.54597229289518,0.05
"CQR_inexact_quantRF",0.9364,2.01969534346423,0.05
"CQR_exact_quantRF",1,4.82139317822078,0.05
"CQR_naive_quantRF",1,4.34741715236989,0.05
"CQR_inexact_quantBoosting",0.9394,1.99359421470553,0.05
"CQR_exact_quantBoosting",0.9998,4.03130172041669,0.05
"CQR_naive_quantBoosting",1,4.39839561907419,0.05
"CQR_inexact_quantBART",0.908,1.75032701022689,0.05
"CQR_exact_quantBART",0.9996,3.71374772465469,0.05
"CQR_naive_quantBART",0.9992,3.74040129920016,0.05
"CF",0.165,0.205594244314274,0.05
"xlearner",0.2528,0.319015584349554,0.05
"bart_naive",0.997,3.28351475420696,0.05
"bart_inexact",0.8642,1.57018553808096,0.05
"CQR_inexact_quantRF",0.9754,2.40373532414365,0.05
"CQR_exact_quantRF",1,4.73247802411717,0.05
"CQR_naive_quantRF",1,4.27689086817169,0.05
"CQR_inexact_quantBoosting",0.9692,2.28582945549161,0.05
"CQR_exact_quantBoosting",1,4.70152804506212,0.05
"CQR_naive_quantBoosting",0.9984,3.70287506971596,0.05
"CQR_inexact_quantBART",0.8974,1.65453422891481,0.05
"CQR_exact_quantBART",1,4.19209221347784,0.05
"CQR_naive_quantBART",0.9956,3.11782214416659,0.05
"CF",0.1554,0.203777998666715,0.05
"xlearner",0.2688,0.347181952184552,0.05
"bart_naive",0.998,3.21197801934872,0.05
"bart_inexact",0.8142,1.38428267601874,0.05
"CQR_inexact_quantRF",0.9816,2.61201809095784,0.05
"CQR_exact_quantRF",0.9998,3.75716727319099,0.05
"CQR_naive_quantRF",1,4.52821478648253,0.05
"CQR_inexact_quantBoosting",0.9442,2.00012285505573,0.05
"CQR_exact_quantBoosting",1,4.52796826094161,0.05
"CQR_naive_quantBoosting",0.997,3.54497749662212,0.05
"CQR_inexact_quantBART",0.906,1.73416529530688,0.05
"CQR_exact_quantBART",1,3.88862944759506,0.05
"CQR_naive_quantBART",0.9988,3.52666669010999,0.05
"CF",0.1682,0.227147543490042,0.05
"xlearner",0.2586,0.34352553093776,0.05
"bart_naive",0.9978,3.36687801966031,0.05
"bart_inexact",0.8694,1.58183305871509,0.05
"CQR_inexact_quantRF",0.9728,2.36918056942117,0.05
"CQR_exact_quantRF",1,4.54609856376278,0.05
"CQR_naive_quantRF",1,4.61976516563079,0.05
"CQR_inexact_quantBoosting",0.9792,2.51452367865392,0.05
"CQR_exact_quantBoosting",1,4.22303122605153,0.05
"CQR_naive_quantBoosting",0.998,3.64474882737571,0.05
"CQR_inexact_quantBART",0.991,2.76820694816571,0.05
"CQR_exact_quantBART",1,4.78758604305504,0.05
"CQR_naive_quantBART",1,4.97419386102401,0.05
"CF",0.146,0.187437833155383,0.05
"xlearner",0.2434,0.322077903110947,0.05
"bart_naive",0.999,3.39000539192626,0.05
"bart_inexact",0.8592,1.51879107563391,0.05
"CQR_inexact_quantRF",0.9838,2.54485941455099,0.05
"CQR_exact_quantRF",1,4.80882263068133,0.05
"CQR_naive_quantRF",1,5.36386222148726,0.05
"CQR_inexact_quantBoosting",0.9706,2.35218488670823,0.05
"CQR_exact_quantBoosting",1,4.86962327202532,0.05
"CQR_naive_quantBoosting",1,4.11294810046392,0.05
"CQR_inexact_quantBART",0.9266,1.85833412775682,0.05
"CQR_exact_quantBART",0.9998,3.64822141001867,0.05
"CQR_naive_quantBART",0.9998,3.90600810834913,0.05
"CF",0.1632,0.209388416421461,0.05
"xlearner",0.2522,0.338034684782721,0.05
"bart_naive",0.9964,3.2280206825445,0.05
"bart_inexact",0.8486,1.49423074103861,0.05
"CQR_inexact_quantRF",0.9802,2.53238395306291,0.05
"CQR_exact_quantRF",0.9998,4.01789410352987,0.05
"CQR_naive_quantRF",1,4.46820126663381,0.05
"CQR_inexact_quantBoosting",0.9718,2.39244202812267,0.05
"CQR_exact_quantBoosting",0.9988,3.67176112618504,0.05
"CQR_naive_quantBoosting",0.9976,3.42583890341728,0.05
"CQR_inexact_quantBART",0.9708,2.36135068480549,0.05
"CQR_exact_quantBART",0.9992,3.73291111269603,0.05
"CQR_naive_quantBART",0.9998,4.23732580767573,0.05
"CF",0.1454,0.190721662343694,0.05
"xlearner",0.2272,0.307089020155162,0.05
"bart_naive",0.996,3.25525956848349,0.05
"bart_inexact",0.8466,1.49325633076986,0.05
"CQR_inexact_quantRF",0.9582,2.25066444547835,0.05
"CQR_exact_quantRF",1,4.48805772779502,0.05
"CQR_naive_quantRF",0.9998,4.03945740596276,0.05
"CQR_inexact_quantBoosting",0.9478,2.0810096099633,0.05
"CQR_exact_quantBoosting",1,4.20095054219558,0.05
"CQR_naive_quantBoosting",0.9988,3.55624353794409,0.05
"CQR_inexact_quantBART",0.9332,1.90449756811001,0.05
"CQR_exact_quantBART",1,4.008063911763,0.05
"CQR_naive_quantBART",0.995,3.12762151844776,0.05
"CF",0.1508,0.19220122845687,0.05
"xlearner",0.2562,0.334534645972571,0.05
"bart_naive",0.9992,3.36559193461582,0.05
"bart_inexact",0.8848,1.64140489036484,0.05
"CQR_inexact_quantRF",0.9932,2.85399196212726,0.05
"CQR_exact_quantRF",1,4.875082263097,0.05
"CQR_naive_quantRF",1,4.05571094186358,0.05
"CQR_inexact_quantBoosting",0.9846,2.56349378282076,0.05
"CQR_exact_quantBoosting",1,4.18909589479042,0.05
"CQR_naive_quantBoosting",0.9998,4.34162599212044,0.05
"CQR_inexact_quantBART",0.9568,2.1224016553681,0.05
"CQR_exact_quantBART",1,4.02358518203212,0.05
"CQR_naive_quantBART",1,4.45955565537935,0.05
"CF",0.1862,0.235729506091486,0.05
"xlearner",0.2488,0.328088414344791,0.05
"bart_naive",0.998,3.35057205645001,0.05
"bart_inexact",0.8862,1.65168970043804,0.05
"CQR_inexact_quantRF",0.961,2.24198436992809,0.05
"CQR_exact_quantRF",1,5.84352496128437,0.05
"CQR_naive_quantRF",1,5.1901458533571,0.05
"CQR_inexact_quantBoosting",0.9464,2.02859689918591,0.05
"CQR_exact_quantBoosting",1,4.45923124587719,0.05
"CQR_naive_quantBoosting",0.9994,4.02968460841027,0.05
"CQR_inexact_quantBART",0.9388,2.00104844060749,0.05
"CQR_exact_quantBART",1,4.26843914116864,0.05
"CQR_naive_quantBART",1,4.70116748694328,0.05
"CF",0.1416,0.195777514304805,0.05
"xlearner",0.234,0.315981497408271,0.05
"bart_naive",0.9976,3.30890654975396,0.05
"bart_inexact",0.8592,1.53964494122198,0.05
"CQR_inexact_quantRF",0.9888,2.86134167612587,0.05
"CQR_exact_quantRF",1,4.70320817113677,0.05
"CQR_naive_quantRF",1,4.41148101966036,0.05
"CQR_inexact_quantBoosting",0.9722,2.3928348066751,0.05
"CQR_exact_quantBoosting",1,4.60383546687015,0.05
"CQR_naive_quantBoosting",0.9998,4.42301511178354,0.05
"CQR_inexact_quantBART",0.9586,2.11660037227929,0.05
"CQR_exact_quantBART",1,4.59836958910869,0.05
"CQR_naive_quantBART",0.9988,3.73724419988699,0.05
"CF",0.1668,0.21738930476587,0.05
"xlearner",0.2484,0.333118140211564,0.05
"bart_naive",0.9976,3.24809979444982,0.05
"bart_inexact",0.8606,1.53933095624283,0.05
"CQR_inexact_quantRF",0.9518,2.09930771104851,0.05
"CQR_exact_quantRF",1,5.66483336630233,0.05
"CQR_naive_quantRF",0.9992,3.94373982467387,0.05
"CQR_inexact_quantBoosting",0.9196,1.85047781783987,0.05
"CQR_exact_quantBoosting",1,4.32302068989954,0.05
"CQR_naive_quantBoosting",0.999,3.87570477100118,0.05
"CQR_inexact_quantBART",0.8902,1.64894013737335,0.05
"CQR_exact_quantBART",1,4.27431761167463,0.05
"CQR_naive_quantBART",0.9996,3.93663275185804,0.05
"CF",0.1388,0.178000874469187,0.05
"xlearner",0.2356,0.305531304311716,0.05
"bart_naive",0.9978,3.25448772388643,0.05
"bart_inexact",0.86,1.51209205482819,0.05
"CQR_inexact_quantRF",0.9946,2.95455331097938,0.05
"CQR_exact_quantRF",1,4.64904010334457,0.05
"CQR_naive_quantRF",1,4.28084186573693,0.05
"CQR_inexact_quantBoosting",0.9428,2.02407928052506,0.05
"CQR_exact_quantBoosting",1,4.41412259006317,0.05
"CQR_naive_quantBoosting",0.9998,4.22172518406799,0.05
"CQR_inexact_quantBART",0.9622,2.16419269171803,0.05
"CQR_exact_quantBART",1,4.04014825977475,0.05
"CQR_naive_quantBART",0.9988,3.5904705410194,0.05
"CF",0.1564,0.199990097107832,0.05
"xlearner",0.2526,0.320919937253371,0.05
"bart_naive",0.996,3.23803197829648,0.05
"bart_inexact",0.868,1.57252205291131,0.05
"CQR_inexact_quantRF",0.9146,1.87719047247613,0.05
"CQR_exact_quantRF",1,4.470369887065,0.05
"CQR_naive_quantRF",1,4.78345334465834,0.05
"CQR_inexact_quantBoosting",0.9314,2.02527293811596,0.05
"CQR_exact_quantBoosting",1,4.136384353014,0.05
"CQR_naive_quantBoosting",0.999,3.66632589977924,0.05
"CQR_inexact_quantBART",0.9158,1.792040974482,0.05
"CQR_exact_quantBART",1,4.23517484944451,0.05
"CQR_naive_quantBART",1,5.49935263510353,0.05
"CF",0.1764,0.224022410060282,0.05
"xlearner",0.2614,0.341984039647118,0.05
"bart_naive",0.9976,3.32047756715304,0.05
"bart_inexact",0.8478,1.48108378417074,0.05
"CQR_inexact_quantRF",0.969,2.35354140758895,0.05
"CQR_exact_quantRF",0.9998,3.96176022896792,0.05
"CQR_naive_quantRF",0.9998,4.33568441909772,0.05
"CQR_inexact_quantBoosting",0.9404,1.96233452439107,0.05
"CQR_exact_quantBoosting",1,4.71905344689457,0.05
"CQR_naive_quantBoosting",0.9998,4.5066394236702,0.05
"CQR_inexact_quantBART",0.93,1.85344597457522,0.05
"CQR_exact_quantBART",1,4.86410208914192,0.05
"CQR_naive_quantBART",0.9998,3.81702783146805,0.05
"CF",0.1652,0.210542292951467,0.05
"xlearner",0.2482,0.32910048402726,0.05
"bart_naive",0.9972,3.25539130061833,0.05
"bart_inexact",0.8602,1.54725869399279,0.05
"CQR_inexact_quantRF",0.95,2.12897487034926,0.05
"CQR_exact_quantRF",1,4.11684703153982,0.05
"CQR_naive_quantRF",1,4.22563205532401,0.05
"CQR_inexact_quantBoosting",0.9548,2.20472822758456,0.05
"CQR_exact_quantBoosting",1,4.01543367327423,0.05
"CQR_naive_quantBoosting",0.9998,4.16351489015549,0.05
"CQR_inexact_quantBART",0.8996,1.72156137997317,0.05
"CQR_exact_quantBART",1,3.98636381429412,0.05
"CQR_naive_quantBART",1,4.11870874021371,0.05
"CF",0.1636,0.215953630701942,0.05
"xlearner",0.2376,0.321956942517843,0.05
"bart_naive",0.9972,3.32605492271296,0.05
"bart_inexact",0.8408,1.46209438750857,0.05
"CQR_inexact_quantRF",0.9612,2.34431341849821,0.05
"CQR_exact_quantRF",1,4.2544277089841,0.05
"CQR_naive_quantRF",1,4.43012814005878,0.05
"CQR_inexact_quantBoosting",0.928,1.92935526264496,0.05
"CQR_exact_quantBoosting",1,4.22903188285729,0.05
"CQR_naive_quantBoosting",0.999,3.65320010839698,0.05
"CQR_inexact_quantBART",0.9524,2.10528624371597,0.05
"CQR_exact_quantBART",1,4.1718758895028,0.05
"CQR_naive_quantBART",0.9998,4.20993803027414,0.05
"CF",0.1846,0.231528064829889,0.05
"xlearner",0.2434,0.317509616204554,0.05
"bart_naive",0.997,3.19622394849467,0.05
"bart_inexact",0.8386,1.46681137175792,0.05
"CQR_inexact_quantRF",0.9864,2.61974960350687,0.05
"CQR_exact_quantRF",1,4.48490145536167,0.05
"CQR_naive_quantRF",0.9998,4.28288644751502,0.05
"CQR_inexact_quantBoosting",0.9606,2.20902672565477,0.05
"CQR_exact_quantBoosting",1,4.73595274295049,0.05
"CQR_naive_quantBoosting",0.9972,3.45936963291225,0.05
"CQR_inexact_quantBART",0.9296,1.86337215545636,0.05
"CQR_exact_quantBART",0.998,3.2265734143488,0.05
"CQR_naive_quantBART",0.9956,3.09501789304952,0.05
"CF",0.1406,0.17662309481454,0.05
"xlearner",0.2278,0.301348389813548,0.05
"bart_naive",0.9966,3.29936881568932,0.05
"bart_inexact",0.8476,1.49575550147672,0.05
"CQR_inexact_quantRF",0.9804,2.49336875420391,0.05
"CQR_exact_quantRF",0.9992,4.01351325058321,0.05
"CQR_naive_quantRF",0.9996,4.37766341214843,0.05
"CQR_inexact_quantBoosting",0.9794,2.51887051500981,0.05
"CQR_exact_quantBoosting",0.9984,3.55454526908911,0.05
"CQR_naive_quantBoosting",0.9986,4.21639138407375,0.05
"CQR_inexact_quantBART",0.9442,2.00045202816202,0.05
"CQR_exact_quantBART",0.9984,3.50531680806161,0.05
"CQR_naive_quantBART",0.9994,4.30776101190888,0.05
"CF",0.151,0.191997927740279,0.05
"xlearner",0.2338,0.292476514768214,0.05
"bart_naive",0.997,3.08871187721137,0.05
"bart_inexact",0.865,1.52489027889296,0.05
"CQR_inexact_quantRF",0.9814,2.48537739417017,0.05
"CQR_exact_quantRF",1,4.16871854521146,0.05
"CQR_naive_quantRF",0.999,3.66686993671418,0.05
"CQR_inexact_quantBoosting",0.9126,1.73476442749212,0.05
"CQR_exact_quantBoosting",0.9988,3.57644600527835,0.05
"CQR_naive_quantBoosting",0.9982,3.22517930220444,0.05
"CQR_inexact_quantBART",0.9674,2.21939616455406,0.05
"CQR_exact_quantBART",0.9998,3.93878920759262,0.05
"CQR_naive_quantBART",0.9994,3.57353220787881,0.05
"CF",0.1396,0.182620473748448,0.05
"xlearner",0.2448,0.320879110509081,0.05
"bart_naive",0.9972,3.28928671202409,0.05
"bart_inexact",0.8512,1.50426038384528,0.05
"CQR_inexact_quantRF",0.9258,1.92627881683401,0.05
"CQR_exact_quantRF",1,4.65972472366392,0.05
"CQR_naive_quantRF",0.9998,4.14790011491038,0.05
"CQR_inexact_quantBoosting",0.9626,2.21573196875639,0.05
"CQR_exact_quantBoosting",0.9998,3.96932707698873,0.05
"CQR_naive_quantBoosting",0.9996,4.14038009243094,0.05
"CQR_inexact_quantBART",0.9192,1.78998367305447,0.05
"CQR_exact_quantBART",0.9998,3.71083207155225,0.05
"CQR_naive_quantBART",0.9978,3.44859789682749,0.05
"CF",0.1764,0.22937694480265,0.05
"xlearner",0.2634,0.344932695060384,0.05
"bart_naive",0.9982,3.32376681235436,0.05
"bart_inexact",0.8486,1.49012209345184,0.05
"CQR_inexact_quantRF",0.9796,2.55283039436065,0.05
"CQR_exact_quantRF",1,4.32008304124725,0.05
"CQR_naive_quantRF",1,4.99022030745661,0.05
"CQR_inexact_quantBoosting",0.9644,2.28834907910571,0.05
"CQR_exact_quantBoosting",0.9998,4.10754731803236,0.05
"CQR_naive_quantBoosting",0.9998,3.98822340984898,0.05
"CQR_inexact_quantBART",0.9362,1.95843649930846,0.05
"CQR_exact_quantBART",1,4.14888125431088,0.05
"CQR_naive_quantBART",0.9998,3.8190689239133,0.05
"CF",0.1674,0.226270847095848,0.05
"xlearner",0.229,0.309642380891716,0.05
"bart_naive",0.9968,3.26671658023777,0.05
"bart_inexact",0.8482,1.5115854641046,0.05
"CQR_inexact_quantRF",0.9718,2.5356229689029,0.05
"CQR_exact_quantRF",1,4.5741528211465,0.05
"CQR_naive_quantRF",0.9998,3.8712985185423,0.05
"CQR_inexact_quantBoosting",0.9522,2.17734118363411,0.05
"CQR_exact_quantBoosting",1,4.41426242227644,0.05
"CQR_naive_quantBoosting",1,4.32581620993487,0.05
"CQR_inexact_quantBART",0.9766,2.4173521798657,0.05
"CQR_exact_quantBART",0.9994,3.75293839141028,0.05
"CQR_naive_quantBART",0.9988,3.42893240149876,0.05
"CF",0.1432,0.198757223147919,0.05
"xlearner",0.2474,0.334184540071196,0.05
"bart_naive",0.9966,3.32759392272929,0.05
"bart_inexact",0.8244,1.4550484501766,0.05
"CQR_inexact_quantRF",0.9608,2.27800030380839,0.05
"CQR_exact_quantRF",0.9998,4.11601572712324,0.05
"CQR_naive_quantRF",0.9984,3.72210451058082,0.05
"CQR_inexact_quantBoosting",0.9532,2.13111840258564,0.05
"CQR_exact_quantBoosting",0.9994,3.87775320113619,0.05
"CQR_naive_quantBoosting",0.9978,3.61974681706524,0.05
"CQR_inexact_quantBART",0.8824,1.63878881314567,0.05
"CQR_exact_quantBART",0.998,3.47731250231464,0.05
"CQR_naive_quantBART",0.9948,3.23366886423099,0.05
"CF",0.1488,0.182983394660964,0.05
"xlearner",0.2382,0.302731666109272,0.05
"bart_naive",0.9966,3.13857133192712,0.05
"bart_inexact",0.8232,1.40323414985992,0.05
"CQR_inexact_quantRF",0.9714,2.34366331138429,0.05
"CQR_exact_quantRF",1,4.05269903505215,0.05
"CQR_naive_quantRF",1,4.57668706163561,0.05
"CQR_inexact_quantBoosting",0.9654,2.31418873221563,0.05
"CQR_exact_quantBoosting",0.9998,3.74698570778583,0.05
"CQR_naive_quantBoosting",0.9992,3.76278631828094,0.05
"CQR_inexact_quantBART",0.8518,1.49456002604741,0.05
"CQR_exact_quantBART",0.9982,3.28867717693042,0.05
"CQR_naive_quantBART",0.9998,3.83953741593483,0.05
"CF",0.1718,0.211889001293873,0.05
"xlearner",0.2742,0.358690687528667,0.05
"bart_naive",0.998,3.41657328223057,0.05
"bart_inexact",0.8804,1.62136198149841,0.05
"CQR_inexact_quantRF",0.9626,2.31053022250903,0.05
"CQR_exact_quantRF",0.9998,4.58740159300194,0.05
"CQR_naive_quantRF",0.9998,4.28411757224984,0.05
"CQR_inexact_quantBoosting",0.9804,2.53608397869952,0.05
"CQR_exact_quantBoosting",0.9996,4.09240859725046,0.05
"CQR_naive_quantBoosting",1,4.11172411016462,0.05
"CQR_inexact_quantBART",0.9622,2.20960383855409,0.05
"CQR_exact_quantBART",0.9994,4.05025043828767,0.05
"CQR_naive_quantBART",0.9988,3.70124391815282,0.05
"CF",0.1938,0.250369472216363,0.05
"xlearner",0.2888,0.382648635738707,0.05
"bart_naive",0.9992,3.51444416467551,0.05
"bart_inexact",0.9112,1.75712789097639,0.05
"CQR_inexact_quantRF",0.9702,2.33393740536848,0.05
"CQR_exact_quantRF",1,4.58395352325657,0.05
"CQR_naive_quantRF",0.9998,4.22891973350105,0.05
"CQR_inexact_quantBoosting",0.995,3.02542213930457,0.05
"CQR_exact_quantBoosting",1,5.0727672066349,0.05
"CQR_naive_quantBoosting",1,4.96666256864209,0.05
"CQR_inexact_quantBART",0.95,2.07618968004766,0.05
"CQR_exact_quantBART",0.9994,3.83292495094536,0.05
"CQR_naive_quantBART",1,5.37627677363119,0.05
"CF",0.149,0.207218650941462,0.05
"xlearner",0.2326,0.318401138128312,0.05
"bart_naive",0.9966,3.32537400260128,0.05
"bart_inexact",0.8972,1.71519830417794,0.05
"CQR_inexact_quantRF",0.929,2.08907485527089,0.05
"CQR_exact_quantRF",1,4.32952581011258,0.05
"CQR_naive_quantRF",1,6.91295759245891,0.05
"CQR_inexact_quantBoosting",1,4.62774951424675,0.05
"CQR_exact_quantBoosting",1,4.6088984210056,0.05
"CQR_naive_quantBoosting",1,5.79820435389986,0.05
"CQR_inexact_quantBART",0.9146,1.79456093160135,0.05
"CQR_exact_quantBART",0.999,3.76949668038641,0.05
"CQR_naive_quantBART",0.9936,3.09030591308229,0.05
"CF",0.1422,0.184321146178945,0.05
"xlearner",0.228,0.301053596250211,0.05
"bart_naive",0.9972,3.28760436139336,0.05
"bart_inexact",0.8616,1.54831754674255,0.05
"CQR_inexact_quantRF",0.9782,2.51503697231277,0.05
"CQR_exact_quantRF",0.9988,3.73698740168786,0.05
"CQR_naive_quantRF",0.9996,3.84268568445762,0.05
"CQR_inexact_quantBoosting",0.9744,2.39359957154572,0.05
"CQR_exact_quantBoosting",1,4.26189854245044,0.05
"CQR_naive_quantBoosting",1,4.54941660387807,0.05
"CQR_inexact_quantBART",0.9662,2.14847088858396,0.05
"CQR_exact_quantBART",0.9994,4.05094002599301,0.05
"CQR_naive_quantBART",0.998,3.68663833280767,0.05
"CF",0.157,0.199778131733498,0.05
"xlearner",0.2374,0.311044541671745,0.05
"bart_naive",0.997,3.18007393191432,0.05
"bart_inexact",0.846,1.47752412041025,0.05
"CQR_inexact_quantRF",0.9512,2.08768864552247,0.05
"CQR_exact_quantRF",1,4.41561005745093,0.05
"CQR_naive_quantRF",0.9988,3.6173430024122,0.05
"CQR_inexact_quantBoosting",0.9352,1.90568610689506,0.05
"CQR_exact_quantBoosting",0.9998,3.83054775359968,0.05
"CQR_naive_quantBoosting",0.9998,4.03723924153725,0.05
"CQR_inexact_quantBART",0.9054,1.71326618923086,0.05
"CQR_exact_quantBART",0.999,3.48998576310206,0.05
"CQR_naive_quantBART",0.9984,3.44791748946415,0.05
"CF",0.158,0.193518540109392,0.05
"xlearner",0.2542,0.328756472320942,0.05
"bart_naive",0.9972,3.37491281967012,0.05
"bart_inexact",0.8916,1.63648919144148,0.05
"CQR_inexact_quantRF",0.9692,2.32765772696253,0.05
"CQR_exact_quantRF",0.9996,5.10691894607582,0.05
"CQR_naive_quantRF",0.9992,4.15950100452297,0.05
"CQR_inexact_quantBoosting",0.9616,2.22724857220129,0.05
"CQR_exact_quantBoosting",0.999,4.14156560050959,0.05
"CQR_naive_quantBoosting",0.9988,3.80809577061068,0.05
"CQR_inexact_quantBART",0.969,2.21485694434229,0.05
"CQR_exact_quantBART",0.999,3.91347600234635,0.05
"CQR_naive_quantBART",0.999,3.76178957735147,0.05
